Player,Name,Position,Age,Height,Weight,Current Team,FGM,FGA,FG%,Type,Salary,,Video
<img src='vincent.png' height='80'></img>,Gabe Vincent,G,25,"6'3""",200,MIA,5,18,27.80%,Restricted,660750,,https://www.youtube.com/embed/TaaDwfpFvKY
<img src='theis.png' height='80'></img>,Daniel Theis,F-C,29,"6'8""",245,CHI,5,20,25.00%,Unrestricted,5000000,,https://www.youtube.com/embed/CGI7JDDOH8A
<img src='teague.png' height='80'></img>,Jeff Teague,G,33,"6'3""",195,MIL,5,8,62.50%,Unrestricted,808073,,https://www.youtube.com/embed/YXhcLxYnDEQ
<img src='birch.png' height='80'></img>,Khem Birch,C,28,"6'9""",233,TOR,5,13,38.50%,Unrestricted,425463,,https://www.youtube.com/embed/SYg-_S6HiOA
<img src='brooks.png' height='80'></img>,Armoni Brooks,G,23,"6'3""",195,HOU,5,13,38.50%,Restricted,898310,,https://www.youtube.com/embed/qxLbovrPaj8
<img src='paul.png' height='80'></img>,Chris Paul,G,36,"6'0""",175,PHX,5,10,50.00%,Player Option,39932648,,https://www.youtube.com/embed/ZKY0SVJ-KSI
<img src='diallo.png' height='80'></img>,Hamidou Diallo,G,22,"6'5""",202,DET,5,10,50.00%,Restricted,1306392,,https://www.youtube.com/embed/Ptmn2SckoIA
<img src='jagreen.png' height='80'></img>,Javonte Green,G-F,27,"6'4""",205,CHI,5,8,62.50%,Restricted,1208146,,https://www.youtube.com/embed/cHtntQaSrFI
<img src='richardson.png' height='80'></img>,Josh Richardson,G,27,"6'5""",200,DAL,5,22,22.70%,Player Option,10491264,,https://www.youtube.com/embed/t-W8Q5vfVq0
<img src='dieng.png' height='80'></img>,Gorgui Dieng,C,31,"6'10""",252,SAS,4,8,50.00%,Unrestricted,1000000,,https://www.youtube.com/embed/ruqlB7dGXnc
<img src='melli.png' height='80'></img>,Nicolo Melli,F,30,"6'9""",236,DAL,4,11,36.40%,Restricted,4000000,,https://www.youtube.com/embed/A_5hDBY3KNw
<img src='payne.png' height='80'></img>,Cameron Payne,G,26,"6'1""",183,PHX,4,9,44.40%,Unrestricted,1086650,,https://www.youtube.com/embed/pa-fSdiNruM
<img src='craig.png' height='80'></img>,Torrey Craig,F,30,"6'7""",221,PHX,4,20,20.00%,Unrestricted,1678854,,https://www.youtube.com/embed/tty7oGiikZU
<img src='bonga.png' height='80'></img>,Isaac Bonga,G,21,"6'8""",180,WAS,4,15,26.70%,Restricted,1360238,,https://www.youtube.com/embed/vCofMfcEe80
<img src='smith.png' height='80'></img>,Ish Smith,G,32,"6'0""",175,WAS,4,8,50.00%,Unrestricted,6000000,,https://www.youtube.com/embed/ijlWAAC4zgU
<img src='arcidiacono.png' height='80'></img>,Ryan Arcidiacono,G,27,"6'3""",195,CHI,4,7,57.10%,Team Option,3000000,,https://www.youtube.com/embed/S5zn3lA-l5w
<img src='griffin.png' height='80'></img>,Blake Griffin,F,32,"6'9""",250,BKN,4,9,44.40%,Unrestricted,1229676,,https://www.youtube.com/embed/8Qt2rTSkj9E
<img src='bradley.png' height='80'></img>,Avery Bradley,G,30,"6'3""",180,HOU,4,12,33.30%,Team Option,5635000,,https://www.youtube.com/embed/jkp-6PYHPnw
<img src='bbrown.png' height='80'></img>,Bruce Brown,G-F,24,"6'4""",202,BKN,4,21,19.00%,Restricted,1306392,,https://www.youtube.com/embed/PDYceUBHNSM
<img src='horton-tucker.png' height='80'></img>,Talen Horton-Tucker,G,20,"6'4""",234,LAL,4,16,25.00%,Restricted,1208146,,https://www.youtube.com/embed/MPFB8yYJyrs
<img src='wmatthews.png' height='80'></img>,Wesley Matthews,G,34,"6'4""",220,LAL,4,20,20.00%,Unrestricted,3623000,,https://www.youtube.com/embed/TJlQlAzhjLc
<img src='wilson.png' height='80'></img>,D.J. Wilson,F,25,"6'10""",231,HOU,4,14,28.60%,Restricted,3044680,,https://www.youtube.com/embed/PsbwChdH6vs
<img src='mhoward.png' height='80'></img>,Markus Howard,G,22,"5'10""",175,DEN,3,3,100.00%,Restricted,535294,,https://www.youtube.com/embed/hWd7n6bOVgY
<img src='bjelica.png' height='80'></img>,Nemanja Bjelica,F,33,"6'10""",234,MIA,3,8,37.50%,Unrestricted,6825000,,https://www.youtube.com/embed/fVL3Z8__SdQ
