,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,ATB_FGM,ATB_FGA,ATB_FG%,win,ortg,pt_diff
84,22,34,0.647058824,3,6,0.5,0,3,0.0,1,2,0.5,1,2,0.5,16,38,0.421052632,0,119.2,-2
85,35,49,0.714285714,8,14,0.571428571,2,8,0.25,0,0,,1,2,0.5,6,18,0.333333333,1,121.2,2
86,10,19,0.526315789,6,14,0.428571429,11,26,0.423076923,1,1,1.0,0,0,,12,30,0.4,1,118.0,7
87,14,28,0.5,6,11,0.545454545,3,6,0.5,2,3,0.666666667,1,10,0.1,9,27,0.333333333,0,110.2,-7
88,14,18,0.777777778,7,20,0.35,7,13,0.538461538,4,4,1.0,1,3,0.333333333,13,30,0.433333333,0,120.9,-8
89,13,20,0.65,9,14,0.642857143,10,17,0.588235294,0,1,0.0,1,3,0.333333333,15,26,0.576923077,1,128.9,8
90,16,29,0.551724138,9,16,0.5625,5,11,0.454545455,1,5,0.2,1,4,0.25,10,24,0.416666667,1,120.9,8
91,13,21,0.619047619,4,16,0.25,4,15,0.266666667,2,4,0.5,0,0,,16,39,0.41025641,0,112.5,-8
92,26,36,0.722222222,4,9,0.444444444,1,7,0.142857143,1,5,0.2,3,5,0.6,7,29,0.24137931,0,113.2,-5
93,16,29,0.551724138,5,8,0.625,7,13,0.538461538,2,7,0.285714286,1,2,0.5,10,24,0.416666667,1,118.2,5
94,19,31,0.612903226,6,17,0.352941176,0,4,0.0,2,3,0.666666667,0,2,0.0,8,18,0.444444444,0,92.6,-19
95,23,34,0.676470588,5,6,0.833333333,3,10,0.3,1,7,0.142857143,0,3,0.0,13,38,0.342105263,1,110.2,19
96,24,32,0.75,7,15,0.466666667,5,8,0.625,1,8,0.125,2,3,0.666666667,8,29,0.275862069,1,131.1,6
97,7,9,0.777777778,9,19,0.473684211,9,14,0.642857143,1,4,0.25,1,4,0.25,14,28,0.5,0,124.6,-6
